Language,Library
Python,theano
Python,pytorch
Python,kafka
Python,numpy
Python,dtreeviz
Python,robinhood
Python,ambv
C,gsl/gsl_sf_bessel.h
C,assert.h
C,complex.h
C,stddef.h
C,signal.h
C,float.h
C++,CImg.h
C++,cstdlib.h
C++,utility.h
C++,csignal.h
C++,cstring.h
Java,java.beans.*;
Java,java.rmi.*;
Java,java.sql.*
Java,java.net.*;
Python,kafka
Python,numpy
Python,dtreeviz
Python,robinhood
Python,ambv
C,gsl/gsl_sf_bessel.h
C,assert.h
C,complex.h
C,stddef.h
C,signal.h
C,float.h
C++,CImg.h
C++,cstring.h
Java,java.beans.*;
Java,java.rmi.*;
Java,java.sql.*
Java,java.net.*;
Python,kafka
Python,numpy
C,assert.h
C,complex.h
C,signal.h
C,float.h
C++,CImg.h
Java,java.sql.*
Java,java.net.*;
Python,dtreeviz
Python,robinhood
Python,ambv
C,gsl/gsl_sf_bessel.h
C,assert.h
C,complex.h
C++,csignal.h
C++,cstring.h
Java,java.beans.*;
Java,java.rmi.*;
